Partido,Municipio,Cargo,Elección,Nombre_completo
PARTIDO SONORENSE,MAZATAN,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,ALEJANDRA RIVERA GRACIA
PARTIDO SONORENSE,MOCTEZUMA,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,MARTIN FIMBRES TERAN
PARTIDO SONORENSE,NACORI CHICO,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,MARIA GRISELDA GUTIERREZ MORALES
PARTIDO SONORENSE,NAVOJOA,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,BERENICE JIMENEZ HERNANDEZ
PARTIDO SONORENSE,NOGALES,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,DORA ALICIA RUELAS ARMENTA
PARTIDO SONORENSE,ONAVAS,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,PEDRO GARELIZ MUNGUIA
PARTIDO SONORENSE,OPODEPE,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,MARTHA NOHELIA VALENZUELA COCOBA
PARTIDO SONORENSE,OQUITOA,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,SAMUEL CHAIRA FEDERICO
PARTIDO SONORENSE,PITIQUITO,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,JOSE ERNESTO GAXIOLA CUELLAR
PARTIDO SONORENSE,PUERTO PEÑASCO,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,ARCETH RUBI VALDES ALVARADO
PARTIDO SONORENSE,QUIRIEGO,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,FREDI RENATO FLORES CAMPOS
PARTIDO SONORENSE,RAYON,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,GUADALUPE CRUZ VASQUEZ
PARTIDO SONORENSE,SAHUARIPA,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,GLORIA ALICIA BIEBRICH PEÑA
PARTIDO SONORENSE,SAN IGNACIO RIO MUERTO,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,ESEQUIEL MENDIVIL MENDOZA
PARTIDO SONORENSE,SAN LUIS RIO COLORADO,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,MARCOS JAVIER PORTILLO ESPINOZA
PARTIDO SONORENSE,SAN MIGUEL DE HORCASITAS,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,CARLOS GABRIEL LABRADA PRECIADO
PARTIDO SONORENSE,SAN PEDRO DE LA CUEVA,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,ALEJANDRO LAMEDA ANDRADE
PARTIDO SONORENSE,SANTA ANA,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,ELVA NIDIA LOPEZ HAROS
PARTIDO SONORENSE,SOYOPA,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,GERARDO MORENO CARRILLO
PARTIDO SONORENSE,SUAQUI GRANDE,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,ANA PATRICIA ESPINOZA DUARTE
PARTIDO SONORENSE,TEPACHE,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,ANA YADIRA QUEVEDO BARRAGAN
PARTIDO SONORENSE,TUBUTAMA,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,IRABIEN NÚÑEZ MONTOYA
PARTIDO SONORENSE,URES,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,ANA ISABEL BRACAMONTE FUENTES
PARTIDO SONORENSE,YECORA,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,IRAM GUADALUPE MELENDREZ JACOBO
PVEM,ALTAR,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,LEONARDO QUIHUIS BUSTAMANTE
PVEM,BACOACHI,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,DANIELA MARIA GALLEGO GALVEZ
PVEM,BENITO JUAREZ,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,ROSA GUADALUPE QUINTANA BELTRAN
PVEM,IMURIS,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,NATIVIDAD RAMIREZ DUARTE
